Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1170,ACCT,351,001,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,01:05 pm-02:25 pm,50,0,0,0,"Amanda Stephanie Abrams",08/30-11/29,BRONF 410,Active
,,,,,,,TR,01:05 pm-02:25 pm,,,,,"Amanda Stephanie Abrams",12/01-12/05,BRONF 410,Active
1171,ACCT,351,002,Lecture,3.000,"Intermediate Financial Accounting 1.",MW,11:35 am-12:55 pm,50,0,0,0,"Amanda Stephanie Abrams",08/30-12/04,BRONF 002,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Amanda Stephanie Abrams",11/30-11/30,BRONF 002,Active
8289,ACCT,351,003,Midterm Exam,0.000,"Intermediate Financial Accounting 1.",F,08:35 am-11:25 am,0,0,0,0,"Amanda Stephanie Abrams",11/03-11/03,BRONF 423,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Amanda Stephanie Abrams",11/03-11/03,BRONF 422,Registration Not Required
1172,ACCT,352,001,Lecture,3.000,"Intermediate Financial Accounting 2.",TR,11:35 am-12:55 pm,50,0,0,0,"Amanda Stephanie Abrams",08/30-11/29,BRONF 001,Active
,,,,,,,TR,11:35 am-12:55 pm,,,,,"Amanda Stephanie Abrams",12/01-12/05,BRONF 001,Active
8255,ACCT,352,002,Midterm Exam,0.000,"Intermediate Financial Accounting 2.",F,08:35 am-11:25 am,0,0,0,0,"Amanda Stephanie Abrams",10/27-10/27,BRONF 340,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Amanda Stephanie Abrams",10/27-10/27,BRONF 210,Registration Not Required
1173,ACCT,354,001,Lecture,3.000,"Financial Statement Analysis.",MW,08:35 am-09:55 am,45,0,0,0,"Matthew  Cote",08/30-12/04,ARMST 255,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"Matthew  Cote",11/30-11/30,ARMST 255,Active
1174,ACCT,354,002,Lecture,3.000,"Financial Statement Analysis.",TR,10:05 am-11:25 am,45,0,0,0,"Matthew  Cote",08/30-11/29,ARMST 255,Active
,,,,,,,TR,10:05 am-11:25 am,,,,,"Matthew  Cote",12/01-12/05,ARMST 255,Active
8256,ACCT,354,003,Midterm Exam,0.000,"Financial Statement Analysis.",F,08:35 am-11:25 am,0,0,0,0,"Matthew  Cote",10/27-10/27,ARMST 065,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Matthew  Cote",10/27-10/27,ARMST 060,Registration Not Required
1175,ACCT,361,001,Lecture,3.000,"Management Accounting.",TR,01:05 pm-02:25 pm,50,0,0,0,"Seunghwan  Oh",08/30-11/29,ARMST 060,Active
,,,,,,,TR,01:05 pm-02:25 pm,,,,,"Seunghwan  Oh",12/01-12/05,ARMST 060,Active
1176,ACCT,361,002,Lecture,3.000,"Management Accounting.",TR,08:35 am-09:55 am,50,0,0,0,"Seunghwan  Oh",08/30-11/29,ARMST 265,Active
,,,,,,,TR,08:35 am-09:55 am,,,,,"Seunghwan  Oh",12/01-12/05,ARMST 265,Active
8191,ACCT,361,003,Midterm Exam,0.000,"Management Accounting.",F,11:35 am-02:25 pm,0,0,0,0,"Seunghwan  Oh",09/29-09/29,BRONF 340,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Seunghwan  Oh",09/29-09/29,BRONF 360,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Seunghwan  Oh",09/29-09/29,BRONF 423,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Seunghwan  Oh",11/10-11/10,BRONF 423,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Seunghwan  Oh",11/10-11/10,BRONF 422,Registration Not Required
1177,ACCT,362,001,Lecture,3.000,"Cost Accounting.",MW,04:05 pm-05:25 pm,50,0,0,0,"Philippe  Levy",08/30-12/04,BRONF 001,Active
,,,,,,,R,04:05 pm-05:25 pm,,,,,"Philippe  Levy",11/30-11/30,BRONF 001,Active
1178,ACCT,385,001,Lecture,3.000,"Principles of Taxation.",TR,02:35 pm-03:55 pm,50,0,0,0,"Preetika  Joshi",08/30-11/29,BRONF 001,Active
,,,,,,,TR,02:35 pm-03:55 pm,,,,,"Preetika  Joshi",12/01-12/05,BRONF 001,Active
1179,ACCT,385,002,Lecture,3.000,"Principles of Taxation.",TR,04:05 pm-05:25 pm,50,0,0,0,"Preetika  Joshi",08/30-11/29,BRONF 001,Active
,,,,,,,TR,04:05 pm-05:25 pm,,,,,"Preetika  Joshi",12/01-12/05,BRONF 001,Active
1180,ACCT,401,061,Lecture,3.000,"Sustainability and Environmental Accounting.",T,06:05 pm-08:55 pm,50,0,0,0,"Halima Jamal Eddine",08/30-12/05,BRONF 423,Active
1181,ACCT,453,001,Lecture,3.000,"Advanced Financial Accounting.",MW,01:05 pm-02:25 pm,45,0,0,0,"Matthew  Cote",08/30-12/04,BRONF 423,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Matthew  Cote",11/30-11/30,BRONF 423,Active
8292,ACCT,453,002,Midterm Exam,0.000,"Advanced Financial Accounting.",F,11:35 am-02:25 pm,0,0,0,0,"Matthew  Cote",11/03-11/03,BRONF 410,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Matthew  Cote",11/03-11/03,BRONF 340,Registration Not Required
1182,ACCT,455,001,Lecture,3.000,"Development of Accounting Thought.",MW,02:35 pm-03:55 pm,45,0,0,0,"Ralph  Cecere",08/30-12/04,BRONF 011,Active
,,,,,,,R,02:35 pm-03:55 pm,,,,,"Ralph  Cecere",11/30-11/30,BRONF 011,Active
1183,ACCT,463,071,Lecture,3.000,"Management Control.",W,06:05 pm-08:55 pm,50,0,0,0,"Philippe  Levy",08/30-12/01,ARMST 060,Active
1184,ACCT,475,001,Lecture,3.000,"Principles of Auditing.",MW,04:05 pm-05:25 pm,45,0,0,0,"Ralph  Cecere",08/30-12/04,BRONF 210,Active
,,,,,,,R,04:05 pm-05:25 pm,,,,,"Ralph  Cecere",11/30-11/30,BRONF 210,Active
1185,ACCT,486,001,Lecture,3.000,"Business Taxation 2.",MW,11:35 am-12:55 pm,50,0,0,0,"Melissa  Marginson",08/30-12/04,ARMST 060,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Melissa  Marginson",11/30-11/30,ARMST 060,Active
8295,ACCT,486,002,Midterm Exam,0.000,"Business Taxation 2.",F,08:35 am-11:25 am,0,0,0,0,"Melissa  Marginson",11/10-11/10,BRONF 340,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Melissa  Marginson",11/10-11/10,BRONF 210,Registration Not Required
1186,ACCT,683,045,Lecture,4.000,"Practice of Taxation.",T,06:05 pm-08:55 pm,70,0,0,0,"Melissa  Marginson",08/30-12/05,BRONF 422,Active
1187,ACCT,687,045,Lecture,4.000,"Assurance Services.",W,06:05 pm-08:55 pm,70,0,0,0,"Matthew  Cote",08/30-12/01,BRONF 422,Active
Biology (Agric & Envir Sc)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
45,AEBI,120,001,Lecture,3.000,"General Biology.",WF,11:35 am-12:55 pm,197,0,0,0,"Fernando  Altamura",08/30-12/01,RAYMND 2-045,Active
46,AEBI,120,002,Laboratory,0.000,"General Biology.",W,01:35 pm-03:25 pm,50,0,0,0,"Fernando  Altamura",08/30-12/05,MACSTW B-023,Active
47,AEBI,120,003,Laboratory,0.000,"General Biology.",W,03:35 pm-05:25 pm,50,0,0,0,"Fernando  Altamura",08/30-12/05,MACSTW B-023,Active
281,AEBI,120,004,Laboratory,0.000,"General Biology.",R,01:35 pm-03:25 pm,50,0,0,0,"Fernando  Altamura",08/30-11/29,MACSTW B-023,Active
,,,,,,,R,01:35 pm-03:25 pm,,,,,"Fernando  Altamura",12/01-12/05,MACSTW B-023,Active
422,AEBI,120,005,Laboratory,0.000,"General Biology.",R,03:35 pm-05:25 pm,50,0,0,0,"Fernando  Altamura",08/30-11/29,MACSTW B-023,Temporarily closed
,,,,,,,R,03:35 pm-05:25 pm,,,,,"Fernando  Altamura",12/01-12/05,MACSTW B-023,Temporarily closed
445,AEBI,210,001,Lecture,3.000,"Organisms 1.",TR,08:35 am-09:55 am,168,0,0,0,"Mehran  Dastmalchi",08/30-11/29,RAYMND 2-045,Active
,,,,,,,TR,08:35 am-09:55 am,,,,,"Mehran  Dastmalchi",12/01-12/05,RAYMND 2-045,Active
448,AEBI,210,002,Laboratory,0.000,"Organisms 1.",T,02:35 pm-04:25 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,MACSTW B-032,Active
449,AEBI,210,003,Laboratory,0.000,"Organisms 1.",T,11:05 am-12:55 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,MACSTW B-032,Active
450,AEBI,210,004,Laboratory,0.000,"Organisms 1.",T,02:35 pm-04:25 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,BARTON 1-016,Active
469,AEBI,210,005,Laboratory,0.000,"Organisms 1.",T,02:35 pm-04:25 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,MACSTW B-027,Active
494,AEBI,210,006,Laboratory,0.000,"Organisms 1.",T,11:05 am-12:55 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,MACSTW B-032,Active
495,AEBI,210,007,Laboratory,0.000,"Organisms 1.",T,11:05 am-12:55 pm,28,0,0,0,"Mehran  Dastmalchi",08/30-12/05,MACSTW B-027,Active
Chemistry (Agric&EnvirSci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
460,AECH,110,001,Lecture,4.000,"General Chemistry 1.",MW,08:35 am-09:55 am,195,0,0,0,"Alice D Cherestes",08/30-12/04,RAYMND 2-045,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"Alice D Cherestes",11/30-11/30,RAYMND 2-045,Active
461,AECH,110,002,Laboratory,0.000,"General Chemistry 1.",R,02:35 pm-05:25 pm,48,0,0,0,"Alice D Cherestes",08/30-11/29,MACSTW B-031,Active
,,,,,,,R,02:35 pm-05:25 pm,,,,,"Alice D Cherestes",12/01-12/05,MACSTW B-031,Active
462,AECH,110,003,Laboratory,0.000,"General Chemistry 1.",F,08:35 am-11:25 am,48,0,0,0,"Alice D Cherestes",08/30-12/05,MACSTW B-031,Active
551,AECH,110,004,Laboratory,0.000,"General Chemistry 1.",F,02:35 pm-05:25 pm,48,0,0,0,"Alice D Cherestes",08/30-12/05,MACSTW B-031,Active
552,AECH,110,005,Tutorial,0.000,"General Chemistry 1.",M,10:05 am-10:55 am,195,0,0,0,"Alice D Cherestes",08/30-12/05,RAYMND 2-045,Active
,,,,,,,R,10:05 am-10:55 am,,,,,"Alice D Cherestes",11/30-11/30,RAYMND 2-045,Active
486,AECH,118,001,Laboratory,1.000,"General Chemistry Laboratory 1.",,TBA,10,0,0,0,"Alice D Cherestes",08/30-12/05,MACSTW B-031,Active
English (Agric & Envir Sc)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
680,AEHM,205,001,Lecture,3.000,"Science Literacy.",TR,11:35 am-12:55 pm,48,0,0,0,"Emily  MacKenzie, Carole  Newman",08/30-11/29,CENTEN 1-150,Active
,,,,,,,TR,11:35 am-12:55 pm,,,,,"Emily  MacKenzie, Carole  Newman",12/01-12/05,CENTEN 1-150,Active
681,AEHM,205,002,Laboratory,0.000,"Science Literacy.",F,02:35 pm-05:25 pm,48,0,0,0,"Emily  MacKenzie, Carole  Newman",08/30-12/05,MACSTW 2-028,Active
682,AEHM,205,003,Break-Out Room,0.000,"Science Literacy.",F,02:35 pm-05:25 pm,30,0,0,0,"Emily  MacKenzie, Carole  Newman",08/30-12/05,TBA,Registration Not Required
49,AEHM,330,001,Lecture,3.000,"Academic and Scientific Writing.",MW,11:35 am-12:55 pm,20,0,0,0,"Carole  Newman",08/30-12/04,TBA,Cancelled
,,,,,,,R,11:35 am-12:55 pm,,,,,"Carole  Newman",11/30-11/30,TBA,Cancelled
Mathematics (Agric&Envir Sci)
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
97,AEMA,101,001,Lecture,3.000,"Calculus 1.",TR,11:35 am-12:55 pm,197,0,0,0,"Fernando  Altamura",08/30-11/29,RAYMND 2-045,Active
,,,,,,,TR,11:35 am-12:55 pm,,,,,"Fernando  Altamura",12/01-12/05,RAYMND 2-045,Active
98,AEMA,101,002,Laboratory,0.000,"Calculus 1.",M,11:35 am-12:55 pm,197,0,0,0,"Fernando  Altamura",08/30-12/05,RAYMND 2-045,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Fernando  Altamura",11/30-11/30,RAYMND 2-045,Active
484,AEMA,105,001,Laboratory,1.000,"Precalculus Lab.",F,01:05 pm-02:25 pm,60,0,0,0,"Fernando  Altamura",08/30-12/01,MACSTW B-016,Active
99,AEMA,202,001,Lecture,3.000,"Intermediate Calculus.",TR,08:35 am-09:55 am,48,0,0,0,"Fernando  Altamura",08/30-11/29,CENTEN 1-150,Active
,,,,,,,TR,08:35 am-09:55 am,,,,,"Fernando  Altamura",12/01-12/05,CENTEN 1-150,Active
