Accounting
CRN,Subject,Course,Section,Type,Credits,Title,Days,Time,Capacity,WL Capacity,WL Actual,WL Remaining,Instructor,Date (MM//DD),Location,Status
1037,ACCT,351,001,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,10:05 am-11:25 am,50,0,0,0,"Melissa  Marginson",01/04-04/09,BRONF 002,Active
1038,ACCT,351,002,Lecture,3.000,"Intermediate Financial Accounting 1.",TR,02:35 pm-03:55 pm,50,0,0,0,"Melissa  Marginson",01/04-04/09,BRONF 410,Active
7946,ACCT,351,003,Midterm Exam,0.000,"Intermediate Financial Accounting 1.",F,11:35 am-02:25 pm,0,0,0,0,"Melissa  Marginson",02/16-02/16,BRONF 151,Registration Not Required
1039,ACCT,352,001,Lecture,3.000,"Intermediate Financial Accounting 2.",TR,02:35 pm-03:55 pm,45,0,0,0,"Amanda Stephanie Abrams",01/04-04/09,ARMST 255,Active
1040,ACCT,352,002,Lecture,3.000,"Intermediate Financial Accounting 2.",TR,10:05 am-11:25 am,50,0,0,0,"Amanda Stephanie Abrams",01/04-04/09,BRONF 001,Active
7954,ACCT,352,003,Midterm Exam,0.000,"Intermediate Financial Accounting 2.",F,08:35 am-11:25 am,0,0,0,0,"Amanda Stephanie Abrams",02/23-02/23,BRONF 410,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Amanda Stephanie Abrams",02/23-02/23,BRONF 423,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Amanda Stephanie Abrams",02/23-02/23,BRONF 422,Registration Not Required
1041,ACCT,354,001,Lecture,3.000,"Financial Statement Analysis.",MW,08:35 am-09:55 am,50,0,0,0,"Matthew  Cote",01/04-04/11,BRONF 410,Active
,,,,,,,R,08:35 am-09:55 am,,,,,"Matthew  Cote",04/11-04/11,BRONF 410,Active
7956,ACCT,354,002,Midterm Exam,0.000,"Financial Statement Analysis.",F,08:35 am-11:25 am,0,0,0,0,"Matthew  Cote",02/23-02/23,BRONF 002,Registration Not Required
,,,,,,,F,08:35 am-11:25 am,,,,,"Matthew  Cote",02/23-02/23,BRONF 001,Registration Not Required
1042,ACCT,361,001,Lecture,3.000,"Management Accounting.",TR,01:05 pm-02:25 pm,50,0,0,0,"Ralph  Cecere",01/04-04/09,BRONF 340,Active
1043,ACCT,362,001,Lecture,3.000,"Cost Accounting.",MW,11:35 am-12:55 pm,50,0,0,0,"Philippe  Levy",01/04-04/11,BRONF 360,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Philippe  Levy",04/11-04/11,BRONF 360,Active
1044,ACCT,385,001,Lecture,3.000,"Principles of Taxation.",TR,11:35 am-12:55 pm,50,0,0,0,"Brian  Wenzel",01/04-04/09,BRONF 422,Active
1045,ACCT,451,001,Lecture,3.000,"Data Analytics in Capital Market.",TR,08:35 am-09:55 am,40,0,0,0,"Ximi  Wang",01/04-04/09,ARMST 075,Active
1046,ACCT,452,001,Lecture,3.000,"Financial Reporting Valuation.",TBA,TBA,35,0,0,0,TBA,01/04-04/12,TBA,Cancelled
1047,ACCT,453,001,Lecture,3.000,"Advanced Financial Accounting.",MW,01:05 pm-02:25 pm,50,0,0,0,"Matthew  Cote",01/04-04/11,BRONF 210,Active
,,,,,,,R,01:05 pm-02:25 pm,,,,,"Matthew  Cote",04/11-04/11,BRONF 210,Active
1048,ACCT,453,002,Lecture,3.000,"Advanced Financial Accounting.",MW,11:35 am-12:55 pm,50,0,0,0,"Matthew  Cote",01/04-04/11,BRONF 210,Active
,,,,,,,R,11:35 am-12:55 pm,,,,,"Matthew  Cote",04/11-04/11,BRONF 210,Active
7957,ACCT,453,003,Midterm Exam,0.000,"Advanced Financial Accounting.",F,11:35 am-02:25 pm,0,0,0,0,"Matthew  Cote",02/23-02/23,ARMST 060,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Matthew  Cote",02/23-02/23,BRONF 001,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Matthew  Cote",02/23-02/23,ARMST 065,Registration Not Required
1049,ACCT,455,001,Lecture,3.000,"Development of Accounting Thought.",TR,02:35 pm-03:55 pm,50,0,0,0,"Ralph  Cecere",01/04-04/09,ARMST 265,Active
1050,ACCT,463,001,Lecture,3.000,"Management Control.",M,02:35 pm-05:25 pm,50,0,0,0,"Philippe  Levy",01/04-04/11,ARMST 265,Active
,,,,,,,R,02:35 pm-05:25 pm,,,,,"Philippe  Levy",04/11-04/11,ARMST 265,Active
1051,ACCT,475,001,Lecture,3.000,"Principles of Auditing.",TR,08:35 am-09:55 am,50,0,0,0,"Ralph  Cecere",01/04-04/09,ARMST 065,Active
1052,ACCT,486,001,Lecture,3.000,"Business Taxation 2.",TR,04:05 pm-05:25 pm,50,0,0,0,"Melissa  Marginson",01/04-04/09,BRONF 046,Active
7978,ACCT,486,002,Midterm Exam,0.000,"Business Taxation 2.",F,11:35 am-02:25 pm,0,0,0,0,"Melissa  Marginson",03/15-03/15,BRONF 423,Registration Not Required
,,,,,,,F,11:35 am-02:25 pm,,,,,"Melissa  Marginson",03/15-03/15,BRONF 422,Registration Not Required
1053,ACCT,618,001,Lecture,3.000,"Financial Reporting: Structure and Analysis.",M,08:35 am-11:25 am,35,0,0,0,"Brian  Wenzel",01/04-04/11,ARMST 375,Active
,,,,,,,R,08:35 am-11:25 am,,,,,"Brian  Wenzel",04/11-04/11,ARMST 375,Active
5545,ACCT,626,075,Lecture,1.500,"Data Analytics in Accounting.",R,02:35 pm-05:25 pm,30,0,0,0,"Hongping  Tan",03/14-04/10,ARMST 075,Active
,,,,,,,R,02:35 pm-05:25 pm,,,,,"Hongping  Tan",04/12-04/25,ARMST 075,Active
5586,ACCT,645,025,Web Course,2.000,"Financial Management in Healthcare.",,TBA,40,0,0,0,"Leslie  Breitner",01/04-04/12,TBA,Active
