building,search_keyword
ADAMS,Adams Building
AGTECH,Agriculture & Engineering Labs
ARTS,Arts Building
BARTON,macdonald campus library
BEATTY,Beatty Hall
BIRKS,Birks Building
BRONF,Bronfman Building
BURN,Burnside Hall
CDH,Chancellor Day Hall
CENTEN,Montreal Aviation Museum
CMH,Charles Meredith House
CURRIE,mcgill sports
DAVIS,Davis House
DAWSON,Dawson Hall
DUFF,Duff Medical Building
DUGGAN,Duggan House
EDUC,Faculty Education
ENGMC,McConnell Engineering Building
ENGMD,Macdonald Engineering Building
ENGTR,Trottier Building
FARM,Farm Centre McGill
FIELD,In field
HOSMCH,Hosmer Coach House
HOSMER,Hosmer House
JGH,Jewish General Hospital
LEA,Leacock Building
MAASS,Maass Chemistry Building
MACSTW,Macdonald Stewart Building
MCLIB,McLennan Library Building
MCMED,Mcintyre Medical Building
MDHAR,Macdonald Harrington Building
MGH,Montreal General Hospital
MNI,Montreal Neurological Inst
MOR,Morrice Hall
MOYSE,Moyse Hall
MT3434,McTavish 3434
MT3438,McTavish 3438
MUSIC,Strathcona Music
NOROOM,No room needed
PARA,Institute of Parasitology
PE1085,Dr. Penfield 1085
PETH,Peterson Hall
PILOT,Pilot House
PL3465,Peel 3465
PL3475,Peel 3475
PL3487,Peel 3487
PL3647,Peel 3647
PL3661,Peel 3661
PL3674,Peel 3674
PL3690,Peel 3690
PL3715,Peel 3715
PN1033,Pine 1033
POLY,Ecole Polytechnique
PURVIS,Purvis Hall
RAYMND,Raymond Building
REDLIB,Redpath Library 
REDPTH,Redpath Hall
REDMU,Redpath Museum
RPHYS,Rutherford Physics Building
RVH,Royal Victoria Hospital
SADB,Strathcona Anatomy & Dentistry Building
SCHOOL,School Teaching
SH550,Sherbrooke 550
SH680,Sherbrooke 680
STBIO,Stewart Biology Building
STHALL,Stewart Hall
WILSON,Wilson Hall
WONG,Wong Building
